 ,pub_date,title,author,section,word_count,title_words,author,statistics,historical,geographic_focus,images,purpose,engagement,num_sources,cultural_relevance,geographic_scope,accessibility_focus ,us_based,global_local,article_images 
N001,12/31/2024,Chinas Leader Nods To Economic Challenges,Daisuke Wakabayashi and Claire Fu,Buisness,846,6,long,Buisness,1,1,1,1,1,1,1,3,1,1,1,1
N002,12/31/2024,A Certain Tankful,Sam Corbin,Gameplay,670,3,short,N/A,0,0,0,0,0,1,3,3,1,1,1,1
N003,12/31/2024,"Corrections: Jan.1, 2025",N/A,Corrections,532,3,N/A,N/A,,0,1,1,0,1,2,1,1,0,1,1
N004,12/31/2024,He Saved Our Lives:' Former Hostages Recall Carter's Quest to Free Them,Peter Baker,Politics,865,12,short,politics,1,0,1,1,1,2,4,1,1,1,1,1
N005,12/31/24,Dartmouth College Basketball Players Halt Effort To Unionize,Billy Witz,U.S,987,8,short,N/A,0,0,1,1,1,2,4,1,1,0,1,1
N006,12/31/2024,New Jersey Ask Judge to Delay Congestion Pricing Plan ,Tracey Tully,New York ,759,9,short,N/A,0,0,1,1,1,2,3,1,1,1,1,1
N007,12/31/2024,Population 11' Is a Peppy Small-Town Outback Mystery,Margaret Lyons ,Television ,818,8,short,N/A,1,0,1,1,1,1,1,1,0,1,1,1
N008,12/31/2024,Chief Justice Roberts Condemns Threats to Judical Independence,Adam Liptak,Politics,1009,8,short,politics,1,0,1,1,0,1,1,2,1,1,1,1
N009,12/31/2024,The Best Movies and TV Shows Coming to Netflix in January,Noel Murray ,Television ,740,11,short,N/A,0,0,1,1,1,1,3,1,1,0,1,1
N010,12/31/2024,Man Is Arrested in Subway in Manhattan,"Alyce McFadden , Chelsia Rose Marcius, and Eryn Davis ",New York ,835,7,long,N/A,0,0,1,1,0,1,1,2,1,0,1,1
N011,12/31/2024,"Woody Fraser, Pioneering Producer of Daytime Talk Shows, Dies at 90",Clay Risen,Television ,920,11,short,N/A,1,0,1,1,1,1,1,2,1,1,1,1
N012,12/31/2024,62 Fascinating Facts of 2024,Times Insider Staff and Quentin Blake,Times Insider,827,5,long,N/A,1,0,1,1,0,1,2,1,1,1,0,1
N013,12/31/2024,Russian Forces are Swarming Ukrainian Positions in the East ,Jonathan Wolfe,Briefing ,1180,9,short,N/A,1,1,1,1,1,2,1,3,1,1,0,1
N014,12/31/2024,Ohio Is About to Make Queer Kids Miserable ,Anna Marks ,Opinion ,940,8,short,N/A,0,0,1,1,0,1,2,1,1,0,0,1
N015,12/31/2024,Tiny Love Stories: 'He Never Says the Words',reader-submitted stories,Style,876,8,N/A,N/A,0,0,1,1,1,1,2,3,1,0,0,1
N016,12/31/2024,The States Restricting Guns and Legalizing Marijuana in the New Year ,"Nicholad Bogek-Burroughs, Ernesto Londono, and Thomas Gibbons-Neff",U.S,923,11,long,N/A,1,0,1,1,1,1,1,1,1,0,0,1
N017,12/31/2024,Can an All-Day Cafe Actually Be Exciting? This One is.,Melissa Clark,Food,841,10,short,N/A,0,0,1,1,1,2,1,2,1,1,0,1
N018,12/31/2024,Listen to the Year's Best Wisdom,The New York Times,Special Series ,828,6,N/A,N/A,0,0,1,1,0,1,2,2,1,1,0,1
N019,12/31/2024,The Year in Wisdom,Staff and Listeners ,The Daily ,1100,4,N/A,N/A,0,0,1,1,1,2,2,1,0,0,0,1
N020,12/31/2024,Trump Wants Greenland and the Panama Canal. It's About Climate.,Lisa Friedman,Climate,824,10,long,N/A,1,1,1,1,1,2,1,2,0,1,0,1
